label	status	color	section	sectionColor	workflow	modules	declarations
defn:minimum-sorting-rule	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesSorting	list_union_singleton_eq_dedup_append_of_notMem;firstOccurrenceList_replicate_append_of_pos;not_mem_flatten_replicates_of_notMem;firstOccurrenceList_flatten_replicates_of_nodup;exists_label_of_getElem_flatten_blocks;map_snd_filter_zip_eq_nil_of_notMem;map_snd_filter_zip_replicate_eq;flatten_filter_zip_replicateLabels_eq_values;map_filter_finRange_eq_map_snd_filter_zip_ofFn;segmentListByArrival_empty;graphPointListToFinset;leastIndexValueMinimal_eq_of_index_min;leastIndexValueMinimal_eq_head_of_sorted_indexed_cons;distinctFiniteSetSortListAux_eq_self_of_pairwise_indexed;distinctFiniteSetSortList_eq_self_of_pairwise_indexed;segmentPointListByIndex;mem_segmentPointListByIndex_iff;pairwise_segmentPointListByIndex_of_isSorted;index_strict_segmentPointListByIndex;distinctFiniteSetSortList_segment_eq_segmentPointListByIndex_of_isSorted;sortedSegment;sortedSegment_isSorted;minimumSortGraphBlocks;minimumSortGraphBlocks_eq_segmentPointLists_of_isSorted;minimumSortGraphList;minimumSortGraphList_eq_flatten_segmentPointLists_of_isSorted;minimumSortIndexList;minimumSortBlocks;minimumSortList;minimumSortList_eq_map_value;minimumSortList_get_cast_graphList_eq_value;minimumSort;minimumSort_empty;pairwise_minimumSortBlock;distinctFiniteSetSortList_segment_nonempty;length_distinctFiniteSetSortList_segment_pos;minimumSortSourceBlocks;firstOccurrenceList_minimumSortSourceBlocks_flatten;length_minimumSortSourceBlocks_flatten;indexConnected_of_mem_same_sortedSegmentGraphBlock;not_comparable_of_mem_distinct_sortedSegmentGraphBlocks;exists_segment_of_mem_minimumSortGraphList;indexConnected_of_mem_minimumSortGraphList_same_source;not_comparable_of_mem_minimumSortGraphList_distinct_sources;indexConnected_of_get_minimumSortGraphList_same_source;not_comparable_get_minimumSortGraphList_distinct_sources;mem_minimumSortGraphList_iff;minimumSortGraphPositionOfIndex;minimumSortGraphList_get_graphPositionOfIndex;mem_minimumSortIndexList_iff;ne_of_mem_distinct_sortedSegmentGraphBlocks;nodup_flatten_sortedSegmentGraphBlocks;nodup_minimumSortGraphList;nodup_minimumSortIndexList;perm_minimumSortIndexList_range;length_minimumSortIndexList;length_minimumSortGraphList;length_minimumSortList;length_minimumSort;minimumSortOutputPositionOfIndex;minimumSortOutputPositionOfGraphPosition;minimumSortGraphPositionOfOutputPosition;minimumSort_graphPosition_outputPosition;minimumSort_outputPosition_graphPosition;minimumSort_entry_outputPositionOfGraphPosition;minimumSort_entry_outputPositionOfIndex;minimumSort_indexComparable_outputPosition_of_indexComparable;minimumSort_indexConnected_outputPosition_of_indexConnected;minimumSortGraphPosition_eq_of_get_eq;minimumSort_indexConnected_of_get_same_source;minimumSort_not_indexComparable_of_get_distinct_sources;minimumSort_source_eq_of_indexComparable;source_eq_of_mem_same_sortedSegmentGraphPoint;minimumSort_source_eq_of_indexConnected;minimumSort_not_indexConnected_of_get_distinct_sources;minimumSort_indexConnected_get_iff_source_eq;minimumSortSegmentOfSource;minimumSort_graphPosition_arrival_mem_source;minimumSort_graphPosition_outputPositionOfIndex;minimumSort_indexSegment_outputPositionOfGraphPosition;minimumSortSourceAtGraphPosition;minimumSortSourceAtGraphPosition_mem;minimumSortSourceAtGraphPosition_eq_of_mem;exists_minimumSortSourceBlock_of_graphPosition;minimumSortSourceAtGraphPosition_eq_sourceBlocks_get;minimumSortSourceList;minimumSortSourceList_eq_sourceBlocks_flatten;firstOccurrenceList_minimumSortSourceList;ofFn_indexSegment_minimumSort_eq_map_sourceList;minimumSort_indexSegment_outputPositionOfGraphPosition_eq_sourceAt;minimumSortSourceAtGraphPosition_graphPositionOfIndex;minimumSort_indexConnected_outputPositionOfGraphPosition_iff_sourceAt_eq;minimumSortSegmentOfSource_injective;segmentListByArrival_minimumSort_eq_map_source;exists_source_of_minimumSortSegment;minimumSortSegmentOfSource_surjective;minimumSortSegmentOfSource_bijective;minimumSortSegmentOfSource_eq_iff;minimumSortSourceAtGraphPosition_mem_segmentListByArrival;minimumSort_indexSegment_outputPositionOfIndex;mem_map_minimumSortSegmentOfSource_segmentListByArrival_iff;nodup_map_minimumSortSegmentOfSource_segmentListByArrival;segmentListByArrival_minimumSort_perm_map_source;length_segmentListByArrival_minimumSort;minimumSortOutputGraphList;minimumSortOutputGraphList_get;minimumSortOutputGraphList_map_value;mem_minimumSortOutputGraphList_iff;nodup_minimumSortOutputGraphList;minimumSortGraphList_minimumSort_perm_outputGraphList;minimumSortOutputGraphList_get_mem_segmentPointListByIndex_source;mem_segmentPointListByIndex_minimumSort_segmentOfSource_iff;minimumSortOutputGraphBlockOfSource;mem_minimumSortOutputGraphBlockOfSource_iff;pairwise_index_minimumSortOutputGraphBlockOfSource;index_strict_minimumSortOutputGraphBlockOfSource;minimumSortList_minimumSort_eq_of_graphList_eq_outputGraphList;minimumSort_idempotent_of_graphList_eq_outputGraphList;fin_cast_congrArg_val;list_get_injective_of_nodup;finPermutationOfNatList;minimumSortPermutation;minimumSortGraphList_get_value_eq_entry_index;minimumSortList_get_eq_graphList_get_value;minimumSort_entry_eq_graphList_get_value;minimumSortPermutation_val_eq_graphList_get_index;minimumSortList_get_eq_entry_minimumSortPermutation;minimumSort_eq_permute_minimumSortPermutation;not_lt_of_mem_distinct_sortedSegmentBlocks;pairwise_flatten_sortedSegmentBlocks;pairwise_minimumSortList;minimumSort_isSorted;minimumSortingRule;minimumSortGraphList_minimumSort_eq_flatten_segmentPointLists_source;minimumSortList_minimumSort_eq_flatten_segmentPointValues_source;pairwise_value_minimumSortOutputGraphBlockOfSource;minimumSortOutputGraphBlockOfSource_eq_segmentPointListByIndex;minimumSortOutputGraphBlockOfSourceZip;minimumSortOutputGraphBlockOfSource_eq_zip_filter;flatten_minimumSortOutputGraphBlocks_eq_outputGraphList;minimumSortGraphList_minimumSort_eq_flatten_outputGraphBlocks;minimumSortGraphList_minimumSort_eq_outputGraphList;minimumSort_idempotent;minimumSortingRule_idempotent
defn:modification	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Primitive	module-comment;modificationValue;modificationValue_eq_default_of_not_exists;modificationValue_eq_of_mem;modify;modify_length;modify_entry_of_mem;modify_entry_of_not_exists;sortedModify;sortedModify_isSorted
defn:pairing	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Primitive	module-comment;pairing;pairing_length;pairing_isSorted;pairing_entry_mem;pairing_range_eq;exists_pairing_entry_eq_of_mem
defn:permutation-map	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMeasurableSorting	module-comment;permutationMap
defn:permutative-equality	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PermutedTuples	module-comment;PermutativeEquality;length_eq_of_permutativeEquality
defn:permuted-tuple-hausdorff-distance	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PermutedTuples	module-comment;permutedTupleHausdorffEDistance;permutedTupleHausdorffEDistance_mk_mk;instEDist
defn:permuted-tuple-quotient-space	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PermutedTuples	PermutedTupleQuotientSpace;permutativeClass;self_mem_permutativeClass
defn:reflexive-transitive-closure	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesSorting	ReflexiveTransitiveClosure
defn:reindex	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Primitive	module-comment;tupleDomain;mem_tupleDomain;finiteSubsetInter;reindex;reindex_length
defn:segments	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesSorting	ConnectedSegment;indexSegment;segmentIndices;indexConnected_iff_same_segment;indexConnected_of_mem_same_segment;tupleGraph;segmentGraph;segmentDistinctFiniteSet;mem_segmentDistinctFiniteSet;firstOccurrenceList;mem_firstOccurrenceList;nodup_firstOccurrenceList;firstOccurrenceList_nil;firstOccurrenceList_map_of_injective;firstOccurrenceList_eq_self_of_nodup;segmentListByArrival;segmentIndices_injective;map_segmentIndices_segmentListByArrival_eq_firstOccurrenceList;segmentIndices_indexSegment_eq_connectedSet;map_segmentIndices_segmentListByArrival_eq_firstOccurrenceList_connectedSets
defn:separable	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	ThesisSeparable;thesisSeparable_iff_separableSpace
defn:separation-operators	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Selection	sigmaTagBool;valueAtTag;separationIndexSet;componentFromIndices;separationComponent;separationOperator
defn:sorted-cancel	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Primitive	module-comment;sortedCancel;sortedCancel_isSorted
defn:sorted-tuple-add	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Primitive	module-comment;sortedAdd;sortedAdd_val;sortedAdd_isSorted;sortedAdd_exists_sortingPermutation;sortedAddOn
defn:sorted-tuples	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesBasic;Foundations.MarketRepresentation.TuplesSorting	IsSorted;SortedTuple;empty_isSorted;isSorted_iff_monotone;isSorted_tupleOfList_of_pairwise
defn:sorting-finite-sets	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesSorting	segmentDistinctFiniteSet;mem_segmentDistinctFiniteSet;tupleOfList;tupleOfList_length;tupleOfList_entry;valueMinimalElements;valueMinimalElements_nonempty;leastIndexValueMinimal;leastIndexValueMinimal_mem;leastIndexValueMinimal_mem_valueMinimal;leastIndexValueMinimal_value_minimal;leastIndexValueMinimal_index_le;distinctFiniteSetSortListAux;distinctFiniteSetSortList;distinctFiniteSetSortStar;distinctFiniteSetSort;distinctFiniteSetSortIndices;mem_distinctFiniteSetSortListAux_subset;mem_distinctFiniteSetSortList_subset;length_distinctFiniteSetSortListAux;mem_distinctFiniteSetSortListAux_of_mem;mem_distinctFiniteSetSortListAux_iff;graphPointListToFinset_distinctFiniteSetSortListAux;leastIndexValueMinimal_graphPointListToFinset_drop_distinctFiniteSetSortListAux;nodup_distinctFiniteSetSortListAux;perm_distinctFiniteSetSortListAux_toList;length_distinctFiniteSetSortList;length_distinctFiniteSetSortStar;length_distinctFiniteSetSort;length_distinctFiniteSetSortIndices;nodup_distinctFiniteSetSortList;nodup_distinctFiniteSetSortIndexList;pairwise_no_later_lt_distinctFiniteSetSortListAux;distinctFiniteSetSort_isSorted;mem_distinctFiniteSetSortList_iff
defn:sorting-map	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesSorting	SortingRule;toSortedTuple;isSorted_sort
defn:sorting-permutations	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesBasic;Foundations.MarketRepresentation.TuplesSorting	permute;IsTupleSortingPermutation;TupleSortingPermutations;tupleSortingPermutation_isSorted;IsSortingPermutation;SortingPermutations;sortingPermutation_isSorted;identitySortingPermutation
defn:tau	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesSorting	segmentIndexFinset;segmentIndexFinset_nonempty;segmentArrivalIndex;segmentArrivalIndex_mem;segmentIndices_injective
defn:tuple	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesBasic	module-comment;Tuple;length;empty;entry
defn:tuple-induced-integer-valued-measure	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.TupleMeasures	tupleInducedIntegerMeasure;tupleInducedIntegerMeasure_apply
defn:tuple-projection	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Selection	tupleProjection;tupleDecomposition
defn:tuple-space	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesBasic	module-comment;Tuple
defn:weak-convergence-finite-measures	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PointProcesses	WeakConvergesFiniteMeasures;weakConvergesFiniteMeasures_iff_forall_integral_tendsto
defn:weak-linear-operator	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	WeaklyLinearOperator
defn:weakly-convex-operator	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	WeaklyConvexOperator
eq:agent-adm-dyn-1	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	toTimeCollapsed;toTimeCollapsed_injective;toProduct;toProduct_injective
eq:agent-adm-dyn-2	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	AgentDynamicPriceTimeUnion;AgentDynamicQuantityTimeUnion;AgentDynamicTimeCollapsedOrders;toTimeCollapsed;toTimeCollapsed_injective;toProduct;toProduct_injective
eq:agent-adm-dyn-3	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	toProduct;toProduct_injective;toProduct;toProduct_injective
eq:agent-adm-static-inj	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	toProduct
eq:epsilon-extension	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PointProcesses	epsilonExtension
eq:finite-integer-measures	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PointProcesses	IsIntegerValuedFiniteMeasure;FiniteIntegerMeasures;diracFiniteMeasure_integerValued;weightedDiracFiniteMeasure_integerValued;finiteAtomicMeasure_integerValued
eq:finite-measures	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PointProcesses	FiniteMeasures
eq:index-mapping	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Equilibrium	module-comment;feasibleEquilibriumIndexSet;mem_feasibleEquilibriumIndexSet;feasibleEquilibriumIndexSet_restricted
eq:lem-helpful-point-process-1	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PointProcesses	helpfulPointProcess_left
eq:lem-helpful-point-process-2	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PointProcesses	helpfulPointProcess_right
eq:lem-helpful-point-process-3	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PointProcesses	helpfulPointProcess_totalMass_eq
eq:minimal-sort	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Sorting	module-comment;realMinimalPermutationLE;dualizeRealTuple;realMinimalPermutationGE;realMinimumSortLE_eq_permutationMap;realMinimalPermutationLE_sorts;realMinimumSortGE_dual_eq_permutationMap;realMinimalPermutationGE_sorts_dual;continuous_dualizeRealTuple;measurable_dualizeRealTuple
eq:prelim-pp	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.TupleMeasures	tupleInducedIntegerMeasure;tupleInducedIntegerMeasure_apply
eq:recursive-application	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Composite	compositeActionList;applyCompositeAction_mk
eq:sort-permute	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesSorting	exists_sortingPermutation
eq:sorted-tuple-separable	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMetricTopology	sortedTuple_separableSpace
exmp:adm-dyn	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	module-comment;DynamicOrder;DynamicAdmissibleOrders;dynamicAdmissibleOrdersEquivIntentProduct;DynamicAdmissibleOrdersTimeIndexed;dynamicTimeIndexedEquivDynamicAdmissibleOrders
exmp:adm-static	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	module-comment;Intent;StaticOrder;StaticAdmissibleOrders;staticAdmissibleOrdersEquivIntentProduct
exmp:agent-adm-dyn	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	module-comment;AgentDynamicAdmissibleOrders;AgentDynamicPriceTimeUnion;AgentDynamicQuantityTimeUnion;AgentDynamicTimeCollapsedOrders;toTimeCollapsed;toTimeCollapsed_injective;toProduct;toProduct_injective;toProduct;toProduct_injective
exmp:agent-adm-static	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	module-comment;AgentStaticAdmissibleOrders;toProduct;toProduct_embedding_injective
exmp:partial-order-static-market	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	module-comment;Intent;BuyPriority;SellPriority;buyPriority_isPartialOrder;sellPriority_isPartialOrder;StaticAdmissiblePriority;staticAdmissiblePriority_isPartialOrder
exmp:sort-discont	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMeasurableSorting;Foundations.MarketRepresentation.TuplesSorting	module-comment;SortDiscontPoint;sortDiscontPair;sortDiscontPair_lt_of_first_lt;sortDiscontPair_lt_of_second_lt;sortDiscontSequenceCoord;sortDiscontLimitCoord;sortDiscontSequence;sortDiscontLimit;sortDiscontSequence_isSorted;sortDiscontLimit_not_isSorted;sortDiscontPair_edist_first;sortDiscontSequence_tendsto;sortDiscont_sortingRule_not_continuousAt;sortingRule_sort_eq_self_of_isSorted
exmp:total-order-dynamic-market	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	Lex3LE;BuyPriority;SellPriority;buyPriority_isPartialOrder;sellPriority_isPartialOrder;DynamicAdmissibleLexPriority;dynamicAdmissibleLexPriority_total;dynamicAdmissibleLexPriority_isPartialOrder;dynamicAdmissibleLexPriority_isTotal
exmp:total-order-static-market	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	StaticAdmissibleLexPriority;staticAdmissibleLexPriority_total;staticAdmissibleLexPriority_isPartialOrder;staticAdmissibleLexPriority_isTotal
lem:bounded-sets-measurable	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Equilibrium	module-comment;feasibleComparisonCell;infeasibleComparisonCell;measurableSet_feasibleComparisonCell;measurableSet_infeasibleComparisonCell
lem:cumulative-summation-continuous	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Equilibrium	cumulativeQuantityTuple;continuous_fixedLength_cumulativeQuantityTuple;continuous_cumulativeQuantityTuple;measurable_cumulativeQuantityTuple
